suite	id	result	method
structured_lemma	structured_lemma_qsynth_ea_csv_53_18	UNKNOWN	bit-fallback
structured_lemma	structured_lemma_qsynth_ea_csv_53_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_53_9	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_0	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_1	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_10	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_11	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_12	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_13	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_14	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_15	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_16	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_17	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_18	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_19	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_2	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_20	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_21	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_22	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_23	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_24	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_25	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_26	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_3	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_4	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_5	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_6	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_7	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_8	UNSAT	direct
structured_lemma	structured_lemma_qsynth_ea_csv_77_9	UNSAT	direct
